SITE,FIELD_NO,Yclass,CLUSPS,CLUSIP
East,1,Y5,PS1,IP1
East,2,Y5,PS1,IP1
East,3,Y5,PS1,IP1
East,4,Y2,PS2,IP1
East,5,Y4,PS3,IP2
East,6,Y2,PS3,IP3
East,7,Y5,PS1,IP1
East,8,Y5,PS1,IP1
East,9,Y4,PS3,IP1
East,10,Y4,PS1,IP1
East,11,Y5,PS1,IP1
East,12,Y5,PS1,IP1
East,13,Y5,PS1,IP1
East,14,Y5,PS1,IP1
East,15,Y5,PS1,IP1
East,16,Y5,PS1,IP1
East,17,Y2,PS1,IP1
East,18,Y3,PS1,IP1
East,19,Y5,PS1,IP1
East,20,Y1,PS3,IP1
East,21,Y5,PS1,IP1
East,22,Y5,PS1,IP1
East,23,Y5,PS1,IP1
East,24,Y5,PS1,IP1
East,25,Y5,PS1,IP1
East,26,Y5,PS1,IP1
East,27,Y5,PS1,IP1
East,28,Y5,PS3,IP1
East,29,Y5,PS1,IP1
East,30,Y5,PS3,IP1
East,31,Y5,PS4,IP1
East,32,Y5,PS1,IP2
East,33,Y5,PS2,IP3
East,34,Y5,PS1,IP1
East,35,Y5,PS1,IP1
East,36,Y5,PS3,IP1
East,37,Y3,PS1,IP1
East,38,Y4,PS1,IP1
East,39,Y3,PS4,IP1
East,40,Y1,PS2,IP3
East,41,Y4,PS3,IP3
East,42,Y5,PS3,IP3
East,43,Y4,PS3,IP3
East,44,Y5,PS3,IP3
East,45,Y4,PS3,IP3
East,46,Y4,PS3,IP3
East,47,Y3,PS3,IP3
East,48,Y5,PS3,IP3
East,49,Y4,PS3,IP3
East,50,Y3,PS3,IP3
East,51,Y4,PS3,IP3
East,52,Y4,PS3,IP3
East,53,Y4,PS3,IP3
East,54,Y5,PS3,IP3
East,55,Y3,PS3,IP3
East,56,Y3,PS1,IP3
East,57,Y3,PS3,IP3
East,58,Y4,PS3,IP3
East,59,Y5,PS1,IP1
East,60,Y4,PS3,IP3
East,61,Y3,PS3,IP3
East,62,Y4,PS3,IP3
East,63,Y4,PS3,IP3
East,64,Y3,PS3,IP3
East,65,Y5,PS3,IP3
East,66,Y4,PS3,IP3
East,67,Y3,PS3,IP3
East,68,Y2,PS4,IP4
East,69,Y4,PS1,IP3
East,70,Y3,PS1,IP3
West,81,Y5,PS1,IP1
West,82,Y5,PS1,IP1
West,83,Y5,PS1,IP1
West,84,Y2,PS2,IP2
West,85,Y4,PS3,IP3
West,86,Y5,PS1,IP1
West,87,Y5,PS1,IP1
West,88,Y4,PS3,IP1
West,89,Y4,PS1,IP1
West,90,Y5,PS1,IP1
West,91,Y4,PS1,IP3
West,92,Y5,PS1,IP3
West,93,Y4,PS1,IP3
West,94,Y5,PS1,IP3
West,95,Y4,PS1,IP3
West,96,Y4,PS1,IP3
West,97,Y3,PS2,IP4
West,98,Y5,PS3,IP3
West,99,Y4,PS1,IP3
West,100,Y3,PS1,IP3
West,101,Y2,PS4,IP4
West,102,Y2,PS4,IP4
West,103,Y2,PS4,IP4
West,104,Y3,PS4,IP4
West,105,Y3,PS4,IP4
West,106,Y1,PS4,IP4
West,107,Y2,PS4,IP4
West,108,Y1,PS4,IP4
West,109,Y2,PS4,IP4
West,110,Y3,PS4,IP4
West,111,Y1,PS2,IP2
West,112,Y2,PS2,IP2
West,113,Y3,PS3,IP2
West,114,Y2,PS2,IP4
West,115,Y1,PS2,IP2
West,116,Y1,PS2,IP2
West,117,Y1,PS4,IP2
West,118,Y1,PS2,IP2
West,119,Y2,PS2,IP2
West,120,Y1,PS2,IP2
North,121,Y2,PS4,IP4
North,122,Y2,PS4,IP4
North,123,Y2,PS4,IP4
North,124,Y3,PS4,IP4
North,125,Y3,PS4,IP4
North,126,Y1,PS4,IP4
North,127,Y2,PS1,IP3
North,128,Y1,PS2,IP3
North,129,Y2,PS4,IP4
North,130,Y3,PS4,IP4
North,131,Y2,PS4,IP4
North,132,Y3,PS3,IP4
North,133,Y4,PS1,IP1
North,134,Y1,PS4,IP4
North,135,Y1,PS4,IP2
North,136,Y1,PS4,IP4
North,137,Y2,PS4,IP4
North,138,Y1,PS4,IP4
North,139,Y2,PS4,IP4
North,140,Y2,PS4,IP4
North,141,Y2,PS3,IP2
North,142,Y2,PS4,IP4
North,143,Y2,PS4,IP4
North,144,Y3,PS4,IP4
North,145,Y3,PS1,IP2
North,146,Y1,PS4,IP4
North,147,Y2,PS4,IP4
North,148,Y1,PS4,IP4
North,149,Y2,PS2,IP2
North,150,Y3,PS4,IP4
North,151,Y2,PS2,IP4
North,152,Y3,PS4,IP4
North,153,Y3,PS3,IP3
North,154,Y1,PS4,IP4
North,155,Y1,PS4,IP4
North,156,Y2,PS4,IP4
North,157,Y1,PS4,IP4
North,158,Y2,PS3,IP2
North,159,Y2,PS4,IP4
North,160,Y1,PS2,IP2
South,161,Y1,PS3,IP2
South,162,Y1,PS2,IP2
South,163,Y2,PS2,IP2
South,164,Y2,PS2,IP2
South,165,Y3,PS2,IP2
South,166,Y1,PS2,IP2
South,167,Y1,PS2,IP2
South,168,Y1,PS4,IP2
South,169,Y1,PS2,IP2
South,170,Y3,PS1,IP3
South,171,Y1,PS4,IP2
South,172,Y3,PS2,IP2
South,173,Y1,PS2,IP2
South,174,Y2,PS2,IP2
South,175,Y1,PS2,IP2
South,176,Y3,PS2,IP2
South,177,Y1,PS3,IP4
South,178,Y2,PS1,IP2
South,179,Y1,PS2,IP2
South,180,Y2,PS2,IP2
South,181,Y1,PS4,IP2
South,182,Y1,PS2,IP2
South,183,Y1,PS2,IP2
South,184,Y3,PS4,IP2
South,185,Y1,PS2,IP2
South,186,Y1,PS2,IP2
South,187,Y2,PS2,IP2
South,188,Y1,PS2,IP2
South,189,Y1,PS3,IP2
South,190,Y3,PS3,IP1
South,191,Y2,PS4,IP2
South,192,Y1,PS3,IP1
South,193,Y1,PS1,IP2
South,194,Y1,PS2,IP2
South,195,Y1,PS2,IP4
South,196,Y1,PS2,IP2
South,197,Y2,PS2,IP2
South,198,Y1,PS2,IP2
South,199,Y1,PS3,IP2
South,200,Y1,PS3,IP1
